"group","inScope","name","uri","category","rewardRange"
"Database Services Tier 1","True","Aiven for Clickhouse","https://aiven.io/clickhouse","other","{""id"":""89ac7646-f653-46f1-a65a-2157827fde5e"",""p1MaxCents"":2310000,""p1MinCents"":1650000,""p2MaxCents"":1320000,""p2MinCents"":528000,""p3MaxCents"":462000,""p3MinCents"":165000,""p4MaxCents"":99000,""p4MinCents"":66000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Database Services Tier 1","True","Aiven for Metrics","https://aiven.io/docs/products/metrics/concepts/metrics-overview","other","{""id"":""89ac7646-f653-46f1-a65a-2157827fde5e"",""p1MaxCents"":2310000,""p1MinCents"":1650000,""p2MaxCents"":1320000,""p2MinCents"":528000,""p3MaxCents"":462000,""p3MinCents"":165000,""p4MaxCents"":99000,""p4MinCents"":66000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Database Services Tier 1","True","Aiven for Valkey","","other","{""id"":""89ac7646-f653-46f1-a65a-2157827fde5e"",""p1MaxCents"":2310000,""p1MinCents"":1650000,""p2MaxCents"":1320000,""p2MinCents"":528000,""p3MaxCents"":462000,""p3MinCents"":165000,""p4MaxCents"":99000,""p4MinCents"":66000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Database Services Tier 1","True","Aiven for Apache Kafka","","other","{""id"":""89ac7646-f653-46f1-a65a-2157827fde5e"",""p1MaxCents"":2310000,""p1MinCents"":1650000,""p2MaxCents"":1320000,""p2MinCents"":528000,""p3MaxCents"":462000,""p3MinCents"":165000,""p4MaxCents"":99000,""p4MinCents"":66000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Database Services Tier 2","True","Aiven for OpenSearch","","other","{""id"":""17cfe949-8fb6-4294-a52f-35c8cc1765f4"",""p1MaxCents"":1500000,""p1MinCents"":1000000,""p2MaxCents"":750000,""p2MinCents"":350000,""p3MaxCents"":250000,""p3MinCents"":100000,""p4MaxCents"":65000,""p4MinCents"":40000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Database Services Tier 2","True","Aiven for Grafana","","other","{""id"":""17cfe949-8fb6-4294-a52f-35c8cc1765f4"",""p1MaxCents"":1500000,""p1MinCents"":1000000,""p2MaxCents"":750000,""p2MinCents"":350000,""p3MaxCents"":250000,""p3MinCents"":100000,""p4MaxCents"":65000,""p4MinCents"":40000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Database Services Tier 2","True","Aiven for PostgreSQL","","other","{""id"":""17cfe949-8fb6-4294-a52f-35c8cc1765f4"",""p1MaxCents"":1500000,""p1MinCents"":1000000,""p2MaxCents"":750000,""p2MinCents"":350000,""p3MaxCents"":250000,""p3MinCents"":100000,""p4MaxCents"":65000,""p4MinCents"":40000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Database Services Tier 2","True","Aiven for MySQL","","other","{""id"":""17cfe949-8fb6-4294-a52f-35c8cc1765f4"",""p1MaxCents"":1500000,""p1MinCents"":1000000,""p2MaxCents"":750000,""p2MinCents"":350000,""p3MaxCents"":250000,""p3MinCents"":100000,""p4MaxCents"":65000,""p4MinCents"":40000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Database Services Tier 2","True","regatta.aiven.io","https://regatta.aiven.io/","website","{""id"":""17cfe949-8fb6-4294-a52f-35c8cc1765f4"",""p1MaxCents"":1500000,""p1MinCents"":1000000,""p2MaxCents"":750000,""p2MinCents"":350000,""p3MaxCents"":250000,""p3MinCents"":100000,""p4MaxCents"":65000,""p4MinCents"":40000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"In Scope (Website Console)","True","aiven.io","https://aiven.io/","website","{""id"":""86b07e5e-68fa-42c5-bf2f-aa329d138999"",""p1MaxCents"":450000,""p1MinCents"":410000,""p2MaxCents"":175000,""p2MinCents"":150000,""p3MaxCents"":85000,""p3MinCents"":60000,""p4MaxCents"":25000,""p4MinCents"":20000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
