"group","inScope","name","uri","category","rewardRange"
"Tier 1 Targets","True","config.cic-bug-bounty.auth0app.com","","website","{""id"":""91e46df1-9be9-45bf-95c0-7a2504e7d2c4"",""p1MaxCents"":5000000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 1 Targets","True","manage.cic-bug-bounty.auth0app.com (Management Dashboard)","https://manage.cic-bug-bounty.auth0app.com/","website","{""id"":""91e46df1-9be9-45bf-95c0-7a2504e7d2c4"",""p1MaxCents"":5000000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 1 Targets","True","*.cic-bug-bounty.auth0app.com","","website","{""id"":""91e46df1-9be9-45bf-95c0-7a2504e7d2c4"",""p1MaxCents"":5000000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 1 Targets","True","Auth0 Guardian Android","https://play.google.com/store/apps/details?id=com.auth0.guardian&hl=en_US&gl=US","android","{""id"":""91e46df1-9be9-45bf-95c0-7a2504e7d2c4"",""p1MaxCents"":5000000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 1 Targets","True","Auth0 Guardian IoS","https://apps.apple.com/us/app/auth0-guardian/id1093447833","ios","{""id"":""91e46df1-9be9-45bf-95c0-7a2504e7d2c4"",""p1MaxCents"":5000000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 1 Targets","True","marketplace.auth0.com (Auth0 Marketplace)","https://marketplace.auth0.com","website","{""id"":""91e46df1-9be9-45bf-95c0-7a2504e7d2c4"",""p1MaxCents"":5000000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 1 Targets","True","MFA Integrations	","","other","{""id"":""91e46df1-9be9-45bf-95c0-7a2504e7d2c4"",""p1MaxCents"":5000000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 1 Targets","True","https://dashboard.fga.dev/","https://dashboard.fga.dev/","website","{""id"":""91e46df1-9be9-45bf-95c0-7a2504e7d2c4"",""p1MaxCents"":5000000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 1 Targets","True","https://api.us1.fga.dev/","https://api.us1.fga.dev/","api","{""id"":""91e46df1-9be9-45bf-95c0-7a2504e7d2c4"",""p1MaxCents"":5000000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 1 Targets","True","https://customers.us1.fga.dev/","https://customers.us1.fga.dev/","api","{""id"":""91e46df1-9be9-45bf-95c0-7a2504e7d2c4"",""p1MaxCents"":5000000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Tier 1 Targets","True","https://play.fga.dev/","https://play.fga.dev/","website","{""id"":""91e46df1-9be9-45bf-95c0-7a2504e7d2c4"",""p1MaxCents"":5000000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"SDK Targets","True","Auth0 SDK for Web (Auth0.js)","https://github.com/auth0/auth0.js","other","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"SDK Targets","True","Lock for Web (lock)","https://github.com/auth0/lock","other","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"SDK Targets","True","Auth0 Single Page App SDK (auth0-spa-js)","https://github.com/auth0/auth0-spa-js","other","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"SDK Targets","True",".NET SDK (Auth0.Net)","https://github.com/auth0/Auth0.Net","other","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"SDK Targets","True","Auth0 Next.js SDK (nextjs-auth0)","https://github.com/auth0/nextjs-auth0","other","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
