"group","inScope","name","uri","category","rewardRange"
"Okta Personal","False","personal.trexcloud.com","","website",""
"Okta Privileged Access","True","bugcrowd-pam-###.oktapreview.com","","website","{""id"":""004c2c52-e6bc-45f6-860c-0352dc584e03"",""p1MaxCents"":3500000,""p1MinCents"":700000,""p2MaxCents"":700000,""p2MinCents"":300000,""p3MaxCents"":300000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Okta Privileged Access","True","bugcrowd-pam-###.pam.oktapreview.com","","website","{""id"":""004c2c52-e6bc-45f6-860c-0352dc584e03"",""p1MaxCents"":3500000,""p1MinCents"":700000,""p2MaxCents"":700000,""p2MinCents"":300000,""p3MaxCents"":300000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Okta Workflows","True","https://bugcrowd-pam-###.workflows.oktapreview.com","","website","{""id"":""004c2c52-e6bc-45f6-860c-0352dc584e03"",""p1MaxCents"":3500000,""p1MinCents"":700000,""p2MaxCents"":700000,""p2MinCents"":300000,""p3MaxCents"":300000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Okta Device Access","True","Desktop MFA for Windows","","other","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Okta Device Access","True","Desktop MFA for macOS","","other","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Okta Device Access","True","Password Sync for macOS","","other","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Okta Support Portal (support.okta.com)","True","support.okta.com","https://support.okta.com","website","{""id"":""035e4c69-d065-49d0-84c7-558deead560a"",""p1MaxCents"":1500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"AtSpoke (Okta Access Requests) (New)","True","https://bugcrowd-pam-###.at.oktapreview.com","","website","{""id"":""d60808ea-4963-4689-8a8e-b046b109957b"",""p1MaxCents"":2500000,""p1MinCents"":500000,""p2MaxCents"":500000,""p2MinCents"":200000,""p3MaxCents"":200000,""p3MinCents"":50000,""p4MaxCents"":50000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Okta (OIE) In-Scope Targets (New)","True","https://bugcrowd-pam-###.oktapreview.com","","website","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Okta (OIE) In-Scope Targets (New)","True","Okta Verify Fastpass","https://www.okta.com/fastpass/","other","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Okta (OIE) In-Scope Targets (New)","True","https://bugcrowd-pam-###-admin.oktapreview.com","","website","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Okta (Classic) In-Scope Targets","False","bugcrowd-%username%-1.oktapreview.com",,"website",""
"Okta (Classic) In-Scope Targets","False","bugcrowd-%username%-2.oktapreview.com",,"website",""
"Advanced Server Access","True","Advanced Server Access (ASA) / (ScaleFT)","https://www.okta.com/products/advanced-server-access/","website","{""id"":""004c2c52-e6bc-45f6-860c-0352dc584e03"",""p1MaxCents"":3500000,""p1MinCents"":700000,""p2MaxCents"":700000,""p2MinCents"":300000,""p3MaxCents"":300000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Advanced Server Access","True","http://app.scaleft.com/","","website","{""id"":""004c2c52-e6bc-45f6-860c-0352dc584e03"",""p1MaxCents"":3500000,""p1MinCents"":700000,""p2MaxCents"":700000,""p2MinCents"":300000,""p3MaxCents"":300000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Advanced Server Access","True","Advanced Server Access Client / Agents","https://help.okta.com/asa/en-us/Content/Topics/Adv_Server_Access/docs/client.htm","other","{""id"":""004c2c52-e6bc-45f6-860c-0352dc584e03"",""p1MaxCents"":3500000,""p1MinCents"":700000,""p2MaxCents"":700000,""p2MinCents"":300000,""p3MaxCents"":300000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Other In-Scope Targets","True","Okta Verify (iOS)","https://apps.apple.com/us/app/okta-verify/id490179405","ios","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Other In-Scope Targets","True","Okta Verify (Android)","https://play.google.com/store/apps/details?id=com.okta.android.auth&hl=en_US&gl=US","android","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Other In-Scope Targets","True","Okta Verify (Mac OS)","https://apps.apple.com/us/app/okta-verify/id490179405","other","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Other In-Scope Targets","True","Okta Verify (Windows)","","other","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Other In-Scope Targets","True","Okta On-Prem Agents ( AD, LDAP, RDP, IWA )","","other","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Other In-Scope Targets","True","Okta Agent Windows","https://help.okta.com/en/prod/Content/Topics/Adv_Server_Access/docs/sftd-windows.htm","other","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Other In-Scope Targets","True","Okta Browser Plugin (IE / Firefox / Chrome)","https://help.okta.com/en/prod/Content/Topics/Settings/download-browser-plugin.htm","other","{""id"":""993dd64c-7525-4733-9466-6dea991c27c8"",""p1MaxCents"":7500000,""p1MinCents"":1000000,""p2MaxCents"":1000000,""p2MinCents"":400000,""p3MaxCents"":400000,""p3MinCents"":100000,""p4MaxCents"":100000,""p4MinCents"":10000,""p5MaxCents"":null,""p5MinCents"":null,""engagementMaxCents"":null}"
"Out of Scope Targets","False","*.okta.com","","website",""
"Out of Scope Targets","False","*.trexcloud.com","","website",""
"Out of Scope Targets","False","login.okta.com","","website",""
"Out of Scope Targets","False","pages.okta.com","","website",""
"Out of Scope Targets","False","developer.okta.com","","website",""
"Out of Scope Targets","False","trust.okta.com","","website",""
"Out of Scope Targets","False","www.okta.com (static site)","","website",""
"Out of Scope Targets","False","https://scaleft.com","","website",""
